"Names"	"Sample 1"	"Sample 2"	"Sample 3"	"Sample 4"	"Sample 5"	"Sample 6"	"Sample 7"	"Sample 8"	"Sample 9"	"Sample 10"	"Sample 11"	"Sample 12"	"Sample 13"	"Sample 14"	"Sample 15"	"Sample 16"	"Sample 17"	"Sample 18"	"Sample 19"	"Sample 20"	"Sample 21"	"Sample 22"	"Sample 23"	"Sample 24"	"Sample 25"	"Sample 26"	"Sample 27"	"Sample 28"	"Sample 29"	"Sample 30"	"Sample 31"	"Sample 32"	"Sample 33"	"Sample 34"	"Sample 35"	"Sample 36"	"Sample 37"	"Sample 38"	"Sample 39"	"Sample 40"
"1A"	1115845.09860372	1200893.36806739	136077.077373359	121688.792150148	112695.243586465	1036760.05297266	72693.2607468829	45209.2896935678	29317.8951934762	6084519.53672534	1476475.53740791	80965.3782866065	166952.836110816	271347.676312706	78109.9117085736	8392560.19411211	3121207.02924607	6595415.52093197	1263632.13514677	706202.757291116	602329.082821864	316340.496781895	594471.171844186	3628437.5379032	664790.79603255	1681986.93662786	79833075.6683841	285784.55332536	633191.117934548	7045776.13159567	2149548.58143561	4499982.97753094	2973773.55714504	115478.344540517	8373644.13894682	54856.8023699425	1573878.86962602	6814823.98002506	10849607.5558762	7220785.20893438
"2B"	602211.690478258	54093.9823516987	7259694.53483912	43651.6415995174	2382781.15466833	22249622.5951253	217681.268123095	591473.417090907	165824.567050899	942135.187793133	1087745.20351653	2141478.91122422	471542.489805057	4036202.33037598	102535.52505736	3531604.76195895	107568.705957297	20052701.1076449	797778.188872825	1418277.95542641	1200395.49033764	1392682.86181989	1285972.98543775	420296.614782892	69128.1017759047	469782.964829614	1881524.10143659	543282.121285999	50975.758531999	3649507.50868856	90076.681605692	6403439.41978743	5258733.1078806	27199.6586605742	8947805.68451182	24942.3193710066	24072956.4242669	160133558.89413	963466.726925129	184393.03626485
"3C"	1728799.61960917	122427.843032243	6079594.45630516	51358.4411871522	193959.749135112	3432574.54010176	388296.915809312	1348951.84958668	627526.902108939	219391.80342211	85522.2933696302	1463506.49244858	7015771.0930775	235240.613933746	130905.327891563	367364.184766766	1352837.15455929	7857196.62472354	1287876.94548671	80923.7629123901	611128.738743479	1983096.28037965	756144.014547341	258609.092998227	407070.057823112	1851610.14492091	3564287.49244387	818824.710649148	135806.424571648	3292045.37833602	5422431.62946469	3373200.70293295	1153425.57807585	322957.353648709	9527897.67336971	21130.6596442561	19077883.5411696	821370.620837661	7215668.26562731	90795.4040075486
"4D"	703469.262987862	238863.878214349	4564976.75155645	306648.514361001	264742.931529711	28953962.4543079	110458.125817392	8213813.39808613	126113.655367561	120934.14000754	339933.191916643	1054247.3471852	476669.132171219	1995149.30909035	30941.7669257056	15873020.5529579	18287046.4941331	44455680.1193896	600709.994117063	202792.120872801	2389468.1293427	42591.274586478	1550095.22636104	102312.420387525	482324.255831824	1864361.72124712	784369330.667185	614805.284364205	1176248.51460167	13617974.4689187	2933264.42941732	2773619.86299112	8838731.84243015	184603.387901395	47901603.8383103	126761.931662498	7244883.85595225	5425422.35088764	1390027.02413993	47166.1445165111
"5E"	4942751.53265302	150384.035543977	445875.755041787	50702.4675803533	705660.161335366	2344601.59669275	712934.676732273	581596.097682966	203674.539914086	247441.041523448	188169.745644697	1816200.17569796	1204628.81487716	7322025.874805	151418.727519605	4873265.93069405	2261093.02757667	2752274.80240544	785471.932798496	110718.961394731	1472991.78155334	11090132.1446719	1245081.23727097	3329510.68881817	702534.485563969	2095614.705121	32416592.3711467	2184321.33660701	692794.301297911	97007621.532833	30588.2608879851	110754302.541679	6855590.86658887	86002.4138752921	2747136.93723851	273438.014849373	47533188.9892974	14683806.1378254	4613618.07241792	185694.144164845
"6F"	176123.751880891	218870.925362774	9765570.92395984	51482.3382842265	806560.603018757	7853216.65220615	155893.976792077	760645.794037854	146357.390727557	4039992.98362684	277110.887438363	1794604.81066855	717794.60834547	9725283.03426923	24314.4647802241	1066126.50213582	2278783.86186684	10443619.3715819	3389615.18629589	659790.313857806	226131.5906031	973774.036428737	551984.013440166	400146.128525739	41317.7727411968	998307.468811748	485725848.188675	254753.852098657	28833.7421475221	187789.066250698	969332.38147564	64554672.5478158	76470.7872767339	110149.875826631	2635148.92523821	231457.464731917	10354546.2059646	843173.031418563	366314.566229141	321493.110979719
"7G"	1837605.86462993	288124.432308584	3303465.79212299	544525.348410602	77097.2216991201	2161825.66853237	687115.022289815	508968.992594231	2484024.79739258	2836806.3151297	338788.212428904	546456.480632946	185292.628480021	198274.431594527	191990.319526104	2877449.5581262	586454.038771161	71803852.1106686	10634160.3577355	32626.0277153573	2979260.8072813	8265667.51387852	1564103.15960391	2451212.00372586	719349.91063839	414474.708956625	87338100.0603042	3136563.87980828	269014.272842292	13863210.134581	1627301.8967429	11569419.8380982	742114.425898448	7418967.07902683	3750166.44595763	157376.060407629	7062007.61387041	2893653.61295384	2988547.04772601	288358.767639258
"8H"	3710470.83938793	113199.775834547	436403.463786198	25157.4429577396	44891.4048339279	10534229.4168856	657888.727966943	67338.2464232214	81755.6128726998	31079245.4966151	288825.844058387	1454911.97404739	1497481.20918939	163916.331286269	116656.020200193	1386519.9708605	1721390.68375585	16483456.6461585	328870.995332009	1000666.40579	283055.91823698	597279.966028581	32247.2976399406	8953747.11216781	196067.525774071	37525266.9610759	211852891.861284	2420928.37459003	476136.99696959	1344517.00300536	876620.137009382	26810726.2301588	1818422.42334527	413298.259930466	4206250.16299162	407204.899192598	9384167.82881035	9948641.3491983	595808.328327311	1372046.36290102
"9I"	306062.413586823	1306682.86186972	239309.135992324	63649.9269060998	258846.265392853	7577570.02492574	1218485.78094639	776506.326974163	19261.5549544484	62075.0392582136	186639.479559405	1510471.26925427	7779144.94118474	7125787.22743524	13293.7153845351	1094950.28503296	4999293.16741611	1838981.33211187	896881.128205093	1467751.9996801	3085252.63497955	2554699.09456662	567194.419019254	85713.9612459503	830091.057689465	305590.028358698	257599835.705645	132829.818760155	139220.405540016	12357650.018211	1646091.48961461	96121143.5507951	3478361.54063579	287329.441878829	9093794.36978189	67056.3252344685	11168054.0027047	3554821.41044532	2302157.01291777	438945.689371302
"10J"	825617.770748839	296869.879770352	7547145.43046058	15817.5968694046	253225.524021887	201152025.1985	39389.3913249588	676268.998939455	103744.905219727	790997.241651718	733686.096580003	17593501.1286013	858063.508620969	6217546.15021152	100178.334219955	214460.700232341	6576357.82848429	638583.3919412	1046665.0645877	95110.9988470158	303201.6194547	212222.804865953	2562658.37921128	914861.237383613	97274.1300329657	214737.027278582	264520895.691594	1651352.44980332	18972.2391543834	1114980.64155305	6436013.49326534	79010581.8513832	9602417.40830941	11254719.3051052	35325460.9835673	345272.966761474	2374358.18608992	5912356.45549349	335357.824518561	812715.987559209
