"","G1_1","G2_2","G1_3","G2_4","G1_5","G2_6","G1_7","G2_8","G1_9","G2_10","G1_1","G2_2","G1_3","G2_4","G1_5","G2_6","G1_7","G2_8","G1_9","G2_10"
"P00001",47064.5648760445,118314.633144195,67433.8604084293,1077386.0501523,149050.101766788,21198.8560142056,502079.816838422,264922.315887827,222042.519586833,316656.074415965,62206.8640240011,478659.605344589,472014.314860066,194038.205195204,19542.9114782836,81856.2122322097,155017.122266919,515999.141389339,30162.3101834259,132220.904839891
"P00002",4819.52945313288,116651.106833108,8437.6469409214,391314.220659249,24719.9487115077,14532.4623411258,79118.5218740669,68930.4927527657,196993.254675406,263443.935838404,5385.71928262843,292238.145598238,473326.276605103,219234.542609636,3644.68655125482,4832.61237042131,99177.535989907,57321.1703187672,4687.99004693842,66008.8377916196
"P00003",8176730.98848737,27224.6926635803,26447991738.7844,217778658.42408,326537721.823076,67254669.29511,13752348484.2283,2609233003.52989,97965433.4127578,19994.4834224889,842246378.32129,774916.655787308,132095.158931358,59034.6101981359,487406920.8711,4556352367.90299,202923.33170726,402586767.086293,8765371006.41098,516772.993355352
"P00004",180101.808828473,118227.004962589,713737.906055623,8230799.37519798,16077928.0855473,8003.00501247601,19669287.7730251,243552.107713865,5217053.66680244,324534.814048707,2833482.45853697,334278.712392013,224131.282543924,181135.561888508,73596.6813528778,42319.2949025804,206983.389048674,71396.0659327645,1879830.35922752,88798.8181897336
"P00005",43226.6048957263,101300.501741247,114953.646724312,1898063.76627583,825482.28887571,40153.1608179384,563403.213914469,37742.1881220759,578902.772685923,245079.57602157,25389.8466839323,425001.418177746,477177.948695241,221718.494878205,27774.3164820386,347890.634496529,179797.120090294,1878736.3512929,1101294.7598876,121948.957197059
"P00006",34445.7377919364,100369.485934846,187053.499394004,1279775.25215458,305996.243772044,207242.560230089,1283135.82902747,168898.401799318,2498937.22344283,254125.145374036,140896.230926854,479206.542943186,378257.257675397,199597.753751022,28969.6318142184,84678.5795259807,199997.855113195,618281.354317478,702900.726940335,115512.045498739
"P00007",521930.319497969,77864.4187645484,40179604.4453811,3218510.45952576,4753466.65014281,602907.475154687,6103878.13773375,18017725.3584384,3619755.654729,86421.1351250347,399362.723656347,619020.800056726,448810.36153697,144704.365889146,800288.941662374,953240.419936135,186256.310230026,2701599.97279469,4264237.45741734,276600.778696651
"P00008",56850.0393015405,85726.0372591796,130466.247863067,6235032.05933083,1461789.00560556,74262.2223020035,1138292.25593516,4990596.1190828,3396176.02333198,154334.586980607,1190745.34409913,437340.168067972,478967.810019692,177402.612056399,59367.1596895619,5833594.23559113,197976.782459842,466098.550598671,885169.547770454,157214.986940417
"P00009",66279.2192115333,62924.0199080107,5053639.48753075,38167798.9572004,454870.807358921,288929.930385089,3366377.68614604,921222.30223652,2251818.5515595,123887.000435021,754571.025386766,547327.086707778,314953.249153785,127002.451646044,370003.193301054,231089.105521382,203086.339048105,3376930.87644685,5463126.81720248,216789.910277832
"P00010",17947.4460800176,108349.716439389,66003.6699804875,411173.721117151,277943.524342599,27438.2957029574,177184.390069835,58968.1074074981,447967.507074415,249250.334834733,38494.8430845307,295845.112789188,455819.618899679,222598.768444704,16347.0908808566,30273.6211328816,147171.306431425,180310.986519246,35151.0090804186,100720.377557556
"P00011",27503.2924498397,79327.4797146431,6954212.47155666,5478942.66460304,6013314.00969765,76194.2695359929,4910146.26919421,5785526.8831221,1226070.19647223,161158.346716746,113011.491792223,512870.855217058,337197.620586832,135704.993214025,49881.1024454386,124490.332605347,202740.441575339,544484.447052071,1151466.5998541,198940.067392174
"P00012",27073.8749052583,110137.090924424,45447.4300330744,561415.994463602,188033.877201054,92419.2538260633,1177382.01117795,288468.41634246,891587.481099889,295469.475444762,11363.7807325462,444107.587369077,437886.920610402,184701.397177493,8611.1012792655,289133.213726897,172135.547837459,458659.227938655,78241.3756915645,134667.313360057
"P00013",145770.660459191,81582.5813138897,3739712.53224201,4114088.24143338,2635449.82299796,248256.195835137,2316918.14521517,2985152.68708932,3642987.79551324,117609.825670405,151503.926636453,508991.735544575,423244.759772473,115561.54455961,137432.231803112,5995608.09967226,203524.404297965,2263087.31574832,1947789.01809634,199697.996688876
"P00014",21680.2570620679,72859.3140332738,238076.903315206,1234647.77590323,1917209.02053618,190599.865124956,4316851.12587118,1334862.61693313,1094173.0020124,198327.477147534,313030.257670636,516990.987866621,446438.312948965,120547.436665676,118015.770408706,496802.497008994,204997.191179845,2270204.60398343,3183635.36599255,211433.319405897
