"","G1_1","G2_2","G1_3","G2_4","G1_5","G2_1","G1_2","G2_3","G1_4","G2_5"
"P00001",348209.357067981,306164.413970347,396351.645541815,122792.604495045,31368.9006886373,5373.92073452936,24085.1575987689,27218.2320170922,5343.8199845386,15132.2102086759
"P00002",870968.33262735,107621.202175529,66149.5312701121,377841.596288758,23734.1237788576,23489.3074914376,27033.6096278864,181822.36646431,15487.5222790639,22650.9746706174
"P00003",2221390.48590713,263925.992646774,21815.3330784765,249184.81277213,19898.6041280114,14586.3407546817,27573.2221232484,50657.9483207878,39042.6119227885,63780.2536743704
"P00004",154968.63600197,9107.08908366351,1334418.08373817,626276.889642151,44368.2658349972,73165.7092282829,20387.2670392615,1634012.82622538,1664.54356081079,2332.74478069882
"P00005",3927778.72335296,209020.971566039,23424.1627400618,318422.765665754,16044.118370964,19106.0271801853,27709.9815803193,43644.6880357384,65144.3525549768,98013.8933751573
"P00006",145073.372475823,2134.46131933538,2938453.25848603,304419824.679317,54652.4934576765,39977305.4076887,19261.7179930958,1296241489.07311,2319.34221620801,2575.61939125919
"P00007",1923336.50210828,119198.493755747,39804.6583808899,421703.952599379,19937.2237652392,55460.8677888527,27485.6412493593,113217.436707099,38806.5129966481,41989.6675111382
"P00008",4674309.98557966,712214.026360074,2468.92786641357,109525.015355515,7725.79118143899,13720.111261999,25522.1964621319,5829.29135312545,99059.9043182584,185348.107922046
"P00009",1100373.34510342,81985.5907728089,55587.8285622374,677565.485245963,21917.7747929665,29733.4527363001,27203.7442611851,311291.764751626,18332.7468907675,30082.5082207764
"P00010",373454.949959065,9104.83303476026,158698.029071283,5861030.11970768,28562.7020048476,467089.579921827,23234.3050982344,6465691.52777929,11665.3895361513,14834.0925853303
"P00011",2540245.95042163,409430.926725415,16218.2386296305,143236.385563002,18312.9430347741,8878.03166408163,27917.311359441,8985.86341882121,40549.1244145322,50987.8504527598
"P00012",1106989.3108093,41675.4114850705,30856.0456832938,3080886.99950883,21245.9352411495,120799.468242937,26969.024613531,1477204.4113273,47158.1734188712,62421.0180849406
"P00013",881343.438291493,19598.4316963305,99199.54276733,1153675.04851183,24570.7093833399,112205.721020694,25547.4785075109,835168.848382523,21917.1381491737,19216.971319339
"P00014",2216289.26212551,93972.737289877,33279.7634830963,645970.623090382,19583.7441831502,72561.0268043068,27823.1363741034,139656.073740759,49210.8912104177,52141.816468596
"P00015",453535.859399426,11529.9445839791,215786.52865222,4864495.65968752,27215.835115435,627086.130335165,22935.3092870599,3969256.98573311,16759.4305948206,14201.0384920406
"P00016",1715462.07817345,262204.597247916,16031.4401487492,346070.363257368,19472.5437625815,24609.2844028966,26855.7101811017,43577.6448677705,38099.0591984355,51654.2127403459
"P00017",2199701.46095897,197985.796198339,14571.2091298683,782835.412859173,17506.3210734657,93765.7540220435,27805.2883433994,211854.288825127,46817.2672219779,110262.561540594
"P00018",2541078.02997776,146683.048613772,21368.2156480859,400963.668090313,20215.3344365489,30367.6997543436,27877.0473016117,178102.490157308,47738.5096930887,64451.5734966047
