"","G1_1","G1_2","G1_3","G1_4","G1_5","G1_6","G1_7","G1_8","G1_9","G1_10","G2_1","G2_2","G2_3","G2_4","G2_5","G2_6","G2_7","G2_8","G2_9","G2_10"
"P00001",112785.558310912,68372.9261592013,219137.52516765,97991.7840173956,82844.7994465539,71528.0742115933,99759.8081830359,52770.4445852184,66522.0966508327,281790.810914716,107716.840715185,129228.043147925,181306.084157547,42271.1603505189,61930.7739031832,111559.013041642,53396.0772100247,72524.6876736524,88810.8583683976,88060.3489325728
"P00002",186707.659352564,212926.033805641,191211.21247385,114694.704796595,105543.281992383,113503.851765372,93185.42728946,203033.830465579,152770.10163494,115127.732596571,312562.673965209,283119.04757654,154268.71922182,131191.608286465,172380.767837116,129402.235367031,109410.245087007,213452.207685876,137635.334912675,184424.347296626
"P00003",160639.761769323,380454.989312017,220346.894600014,107863.547738766,286068.431751133,431522.262423358,428138.567443745,228732.514306699,353945.41311299,325501.447417934,311570.654405859,578449.296005942,557721.961494815,278797.493923642,320916.627378953,327802.07366887,165361.68871449,149308.73025171,398414.174541974,197165.385537947
"P00004",318204.509828919,1042686.16278688,338550.037403305,83949.7460356197,673201.307049377,841062.970610298,712940.729967836,396144.471326747,483811.907957767,720985.795042032,456305.370117265,1008864.16016826,386292.174157489,728914.837292621,522800.637953868,1190163.04417487,193404.724258251,511355.269154369,422860.819997446,422725.004231895
"P00005",523053.179325641,499120.856865927,546367.428438205,525893.146127196,384952.933534015,420734.673538714,322223.096848359,500925.739654191,285904.172326787,229187.660455436,483593.566965694,282317.644782569,487682.664669134,291616.208029764,836874.264298109,755819.065742637,370610.387509424,547500.209379441,328651.947367413,1046045.53640583
"P00006",178460.087017627,191052.229254864,198106.625957335,191180.310477836,248970.445911096,351634.238927808,124274.404260968,329152.854871974,314225.557645382,155283.338462806,332084.14199826,291926.362894329,181850.850853023,203457.133969326,84494.8661417723,303612.023504152,171757.501242372,363850.490222046,247241.966171587,269463.39450387
"P00007",103614.21549087,109779.456723147,106607.373902206,132529.886280647,158430.810183066,52118.908331098,125702.988604104,55923.654428816,72374.8516109663,51835.3180714171,127867.232589458,112245.537381006,203259.330358481,75331.4474851091,173728.086617573,52060.9197253843,96835.3756255159,121329.320355316,111768.770703974,104978.651465834
"P00008",196573.546663463,493085.394936492,555871.13214864,313666.292289534,358974.104700887,482351.796346665,177871.608169966,245492.306803212,536221.207625473,306751.998644695,312073.390721237,142352.212025395,116674.236330314,458964.918358659,224230.739164916,248456.401934053,336125.025922473,217689.504194306,385104.335144568,262273.729921498
"P00009",213818.756544291,658633.982562969,285071.090929712,163218.041606863,539312.220044286,270549.521220642,452742.17095325,255049.788246782,420053.84779766,341839.267099126,345747.687389037,600654.020212165,288798.391848094,277273.199015587,391733.705410328,622391.267961167,841647.179921809,156555.011137147,414150.968722323,174349.147572797
"P00010",672285.929649228,679995.13008611,330524.452515374,527756.070732994,782921.414460204,592357.525837997,513684.28512582,732942.740199561,437409.497779275,512165.350697808,837919.239267718,756739.337041082,705621.233820032,1036193.24530951,384342.258853859,462594.774497242,401297.572238665,812975.72290513,767318.351680379,632938.978089624
"P00011",192092.87493864,188599.847521323,215318.724011148,495229.803174388,239182.892600744,168499.245571303,177576.121183001,190503.622076102,106544.780933013,336991.431173858,210777.114548528,71704.0127682499,354956.204461927,84878.1252541943,158811.756857647,118777.386336376,141620.620518015,285090.856848831,146439.438528209,154491.587388099
"P00012",487411.27541576,1114947.66469463,298571.056134954,250668.201959199,434132.958854564,191056.879553977,276602.046290101,705707.135561072,185571.165968933,345010.78297789,234207.373928554,361613.296781746,301671.513929029,401683.071011717,276212.282847508,409430.358385811,446034.238625469,234220.32484022,428753.979061412,918575.827590812
"P00013",250943.054443573,791967.597186769,284625.834012902,524943.499575946,897867.850102157,457521.986474161,326030.208268628,458947.909172262,506349.86256186,454485.823283138,889263.443865615,385650.894414709,520476.556200702,286156.279800715,1160883.32214298,723701.771022625,448992.093709303,459256.939770827,333277.677217678,461550.375446707
"P00014",231909.220503361,155639.993911013,186949.573999669,202282.890323572,229016.409566546,410277.780176976,172173.546881838,244678.848587179,300451.41022859,250552.594421284,210725.299493969,105901.185644739,184856.503469449,167783.507613995,282743.452744594,190420.65501531,275703.08882481,163457.787787737,105664.867558603,203481.664244891
"P00015",307947.853622491,158824.606417042,593900.139470905,333357.538367547,226407.206305203,200925.253419317,283768.179731326,242162.652230342,172820.972931377,296398.022960455,310916.482229377,195173.386075587,211636.810387741,166159.482757906,434156.943942611,408051.412041998,427634.425725071,517201.08144015,396310.30726997,581627.189904145
"P00016",3180511.73351785,2484422.30336306,2621538.85835002,5865484.83036909,1697907.8099864,2188487.21375086,2726931.42443307,5083537.73071355,2318901.19823721,3411758.44678357,2428064.28687142,2865916.26924047,4020051.49082,2802712.50213802,2585927.86029301,4862983.5887633,4267875.54887667,1964958.68743504,3021105.99423217,3363225.74875891
"P00017",103128.068000016,57450.4384300445,61993.5432674684,70903.9845627672,38592.4114679119,116852.247123935,116031.570735024,67005.0535764867,67403.8589004595,99491.5861881731,148869.657395249,64421.6026571988,197146.250489944,184268.77342159,114139.889426044,109521.978074688,58552.0742864273,96390.22374988,53436.0741545604,53500.9915232725
"P00018",255848.278810536,866746.005208855,189919.530800572,503481.070305617,557394.676429318,464908.838691831,322558.324707691,306342.324648092,573745.532226627,469282.650373607,610476.574151987,462400.025333098,705312.398168164,479400.787126886,435259.173268348,636629.487523026,430755.171338057,203204.625040313,577011.924840254,399204.702675426
"P00019",256623.813437874,550588.612830936,410474.674435843,358910.69553171,303711.078854725,309849.942475052,223409.676100951,290125.69702694,63681.9362701326,283794.368750891,215507.928967124,219935.326187224,204916.665570476,187796.679299499,459872.775703168,463314.290956264,194270.52001097,365836.456463827,328385.766398021,154947.789161301
"P00020",609670.027738362,157568.121697457,638175.564729949,622347.489879938,405595.497960988,346101.264171906,589381.098147167,267451.902498828,711397.377913218,370509.617536487,769556.751029701,211427.903010365,339098.560790673,535518.263230103,328060.479228004,525117.549960123,1011006.25425225,374531.838491357,804199.55637099,648601.552751197
"P00021",44917.8325374539,89205.6761867624,184487.80465442,116614.212465805,84549.3433634541,142771.293933019,139793.590414733,94599.1183145312,56180.5659475861,91393.713960416,91823.1293596428,144825.863959762,54673.4522524351,60486.2933044056,118255.008287517,37283.6157423863,207816.972478809,156996.111896292,139668.102836589,125489.193790593
"P00022",385029.094215666,574725.72502199,328349.674066099,191201.928065193,170070.513622146,664720.554222047,262026.570052187,504990.067575619,873759.899446704,401590.321184136,131270.024747839,283927.288695257,191179.021565809,745088.603823982,429962.23842014,655684.074168487,243852.049590024,343996.376823437,342712.953316673,224025.84609883
"P00023",2520408.11904741,645838.960390179,2131971.91786937,5877346.18091755,1538628.67117094,1111983.36449865,1965405.22878561,1264608.76851295,1582928.54669953,1296359.07078279,1598481.34909243,1351837.99134968,677540.892450894,1541973.21223152,969430.263025333,1077658.90052585,2014175.55307456,698598.590380505,1523851.11988815,1431201.27308626
"P00024",426199.947904526,205917.856150157,400134.009488262,431025.984671516,181495.828092875,306817.058223747,705020.315716049,593734.402723543,367499.511441997,254194.331919751,888600.135540269,265530.211774803,474658.920475154,253741.502351642,311023.076274866,337065.759240575,458109.163755102,389877.834056732,214851.336159319,292192.225415361
"P00025",1243383.44232386,441888.414674241,672235.874892719,1559955.41052024,1484215.79681991,1320479.59362843,1412799.54749843,3041399.32911671,859280.260593277,1403925.7123216,1067661.34437356,1056236.13435456,766931.15496281,1328369.07024902,1128149.19143545,695795.148890605,954478.762762909,1435239.70757537,780990.772293176,669339.494697471
"P00026",192617.930452719,134969.163849453,194970.775634014,115480.862321216,218988.013166029,359535.654803595,178330.004167646,189654.405233432,297787.919359548,149878.576750322,158097.277696949,71255.9752591303,158743.758676077,104920.744802919,91647.3816802936,123442.855780707,294563.49707965,294483.62793812,260058.544036708,242741.761694608
"P00027",830130.060620151,307353.384265818,191104.172986125,805368.321634006,766050.4192865,690203.597334677,450078.186915456,834042.187613516,318260.95387404,858043.63186829,121810.121379453,92846.0084909844,141395.490875758,68465.5696187594,133683.702448106,178686.334082969,191704.444152501,124833.830402126,293568.323178996,161127.435366983
