"","G1_1","G2_2","G3_3","G1_4","G2_5","G3_1","G1_2","G2_3","G3_4","G1_5","G2_1","G3_2","G1_3","G2_4","G3_5"
"P00001",3759179.05705806,1552733.6116017,2725740.40876956,3708574.61321015,2530762.09093481,1977874.73388155,744524.674669128,2110960.89728646,3263797.44630154,2253619.32541993,746979.133166803,3050839.43480192,3373698.94084796,2953284.34789665,3501838.5218534
"P00002",1369772.62561668,501632.007384645,883435.309781604,1310157.55737384,960958.477568973,675432.315122805,494061.077032843,602338.314855678,1500508.9918564,888019.177659714,260320.408394176,985848.19344665,1818740.05743411,2182237.13134123,1319027.29889733
"P00003",141804.597275195,49404.6124729228,120656.867418154,106053.376588548,112833.883553527,48076.7437632587,45479.0190120349,70427.533933831,109672.036232793,92857.2027970188,23342.179909544,104087.013522198,254294.793665191,208828.353361763,109170.644228612
"P00004",1017394.49866116,310134.910307808,735150.37762036,954179.554568049,628474.388557977,582248.212597404,204634.348149182,339152.989688995,966500.424074831,604209.964983614,234499.222411155,900972.598997288,1476493.1417244,886474.19940387,783344.137189563
"P00005",695463.125509692,186996.285148746,353524.963386885,543546.230288719,427814.642120825,350489.471758459,185766.01121793,322363.988659196,652926.699077003,453545.778309799,122060.509744176,538187.541811445,855897.760422737,846768.226241531,478812.660428886
"P00006",1884031.53308391,459845.427211486,1108307.12141918,1818758.86683251,1071350.1173833,661318.759456461,468920.196723415,984131.086565363,1417990.97619897,1343492.85207241,359285.900053476,1074601.63356825,1824228.12745011,1709496.47932051,1163882.46157262
"P00007",158330.533880831,26486.6855905201,91244.5298571081,88386.1345064157,79809.8269254525,31177.3361439978,57710.8908990645,78845.4155524701,100259.632213261,81968.5176308321,20067.8118755302,48748.1856191723,204525.837419896,430369.340892527,48379.9134855251
"P00008",256639.650760397,88348.3833314878,215946.613475855,198764.885559693,283100.481588614,74144.1082982726,123964.248639616,148066.370756215,211992.704575688,268457.203883528,61660.6126158416,203045.337025529,699341.928529158,984710.327302988,181883.367914199
"P00009",276311.53905404,69255.5844556691,188773.891945971,172178.967203146,160097.293406255,99776.1723354703,77654.2627742401,99556.4794672249,178583.785594338,148011.954833185,52011.4814101064,200510.137118962,314253.504390447,299294.752607542,163443.310349425
"P00010",73430.6138373779,24938.6867310355,50642.5407970676,63358.6208131018,51420.8161892877,28195.3807761685,29960.0949733759,42876.4368781794,75703.9914232285,56676.0536584849,17783.40218186,48099.5004053067,105496.166708822,214311.486977002,45699.6096099591
